INDEX	UUID	TYPE	STR	AG_A_TEXT	AG_A_LINKS	AG_A_STR	AG_B_TEXT	AG_B_LINKS	AG_B_STR	PMID	TEXT	IS_HYP	IS_DIRECT	CURATOR	CORRECT	NOTES	AG_A_IDS_CORRECT	AG_A_STATE_CORRECT	AG_B_IDS_CORRECT	AG_B_STATE_CORRECT	EVENT_CORRECT	RES_CORRECT	POS_CORRECT	SUBJ_ACT_CORRECT	OBJ_ACT_CORRECT	HYP_CORRECT	DIRECT_CORRECT
98	f6f21247-3995-4e56-b32e-f1803d4123db	Inhibition	Inhibition(TDGF1(bound: [TGFB, True]), TGFB())	Cripto	https://identifiers.org/uniprot/P13385, https://identifiers.org/hgnc/HGNC:11701	TDGF1(bound: [TGFB, True])	TGF-beta	https://identifiers.org/fplx/TGFB	TGFB()	17030617	Cripto bound TGF-beta and reduced the association of TGF-beta with its type I receptor, TbetaRI.		FALSE														
99	50ae3674-4833-4db7-9f8e-7062b0dfb4c7	Activation	Activation(NCOA3(), FGR())	SRC-3	https://identifiers.org/uniprot/Q9Y6Q9, https://identifiers.org/hgnc/HGNC:7670	NCOA3()	SRC-2	https://identifiers.org/uniprot/P09769, https://identifiers.org/hgnc/HGNC:3697	FGR()	23936147	Another report have shown that SRC-3, in contrast to SRC-2, stimulates proliferation of androgen dependent and androgen independent prostate cancer cell and tumour growth XREF_BIBR, indicating a different role of SRC-2 in these types of cancer.		FALSE														
100	50ae3674-4833-4db7-9f8e-7062b0dfb4c7	Activation	Activation(NCOA3(), FGR())	SRC-3	https://identifiers.org/uniprot/Q9Y6Q9, https://identifiers.org/hgnc/HGNC:7670	NCOA3()	SRC-2	https://identifiers.org/uniprot/P09769, https://identifiers.org/hgnc/HGNC:3697	FGR()	24743578	Verrucarin A treatment was able to reduce SRC-3 protein expression by 90% at 10 nM, but reduced SRC-2 and SRC-1 to a smaller extent and only at much higher doses (XREF_FIG).		FALSE														
101	01754a79-27c0-4a34-8046-f67bd1eea30f	Activation	Activation(DIAPH3(), RHOA())	mDia2	https://identifiers.org/uniprot/Q9NSV4, https://identifiers.org/hgnc/HGNC:15480	DIAPH3()	RhoA	https://identifiers.org/uniprot/P61586, https://identifiers.org/hgnc/HGNC:667	RHOA()	19913427	However, such a result is not without precedent because the loss of mDia1 or mDia2 has been observed to inhibit Rho and / or Cdc42 in neutrophils and glioma cells [XREF_BIBR, XREF_BIBR].		FALSE														
102	01754a79-27c0-4a34-8046-f67bd1eea30f	Activation	Activation(DIAPH3(), RHOA())	mDia2	https://identifiers.org/uniprot/Q9NSV4, https://identifiers.org/hgnc/HGNC:15480	DIAPH3()	RhoA	https://identifiers.org/uniprot/P61586, https://identifiers.org/hgnc/HGNC:667	RHOA()	11779461	We also found that an activated form of mDia2, DeltaGBD-mDia2, induces RhoA activation as well.		FALSE														
103	64aae20c-898b-422b-863d-0e8d13c1a367	Inhibition	Inhibition(SMAD3(bound: [IRF3, True]), SMAD3())	Smad3	https://identifiers.org/uniprot/P84022, https://identifiers.org/hgnc/HGNC:6769	SMAD3(bound: [IRF3, True])	Smad3	https://identifiers.org/uniprot/P84022, https://identifiers.org/hgnc/HGNC:6769	SMAD3()	25526531	Activated IRF3 interacts with Smad3, thus inhibiting TGF-beta-induced Smad3 activation, and, in the nucleus, disrupts functional Smad3 transcription complexes by competing with co-regulators.		FALSE														
104	64aae20c-898b-422b-863d-0e8d13c1a367	Inhibition	Inhibition(SMAD3(bound: [IRF3, True]), SMAD3())	Smad3	https://identifiers.org/uniprot/P84022, https://identifiers.org/hgnc/HGNC:6769	SMAD3(bound: [IRF3, True])	Smad3	https://identifiers.org/uniprot/P84022, https://identifiers.org/hgnc/HGNC:6769	SMAD3()	25526531	Activated IRF3 interacts with Smad3, thus inhibiting TGF-beta-induced Smad3 activation, and, in the nucleus, disrupts functional Smad3 transcription complexes by competing with co-regulators.		FALSE														
105	c4dee7d0-0ab1-4fab-b9a5-41a74e4b2664	Phosphorylation	Phosphorylation(SRC(), RELA())	Src	https://identifiers.org/uniprot/P12931, https://identifiers.org/hgnc/HGNC:11283	SRC()	p65	https://identifiers.org/uniprot/Q04206, https://identifiers.org/hgnc/HGNC:9955	RELA()	20038977	Phosphorylation of p65, IKKalpha and beta, and IkappaB was reduced by inhibitors of p38 MAPK (SB203580), ERK (PD), and Src (PP2; XREF_FIG).		FALSE														
106	c4dee7d0-0ab1-4fab-b9a5-41a74e4b2664	Phosphorylation	Phosphorylation(SRC(), RELA())	Src	https://identifiers.org/uniprot/P12931, https://identifiers.org/hgnc/HGNC:11283	SRC()	p65	https://identifiers.org/uniprot/Q04206, https://identifiers.org/hgnc/HGNC:9955	RELA()	21911421	Another possibility is that Src and PKCzeta directly activate p50 and p65 subunits, which is supported by the findings that Src and PKCzeta can directly phosphorylate p65.		TRUE														
107	9cc1b821-12a8-4026-b221-283063bb3971	Complex	Complex(HSPB1(), MLN())	Hsp27	https://identifiers.org/uniprot/P04792, https://identifiers.org/hgnc/HGNC:5246	HSPB1()	Map	https://identifiers.org/uniprot/P12872, https://identifiers.org/hgnc/HGNC:7141	MLN()	25277244	Hsp27 Interaction Map Using Two-hybrid Identifies 226 Interacting Proteins.		TRUE														
108	9cc1b821-12a8-4026-b221-283063bb3971	Complex	Complex(HSPB1(), MLN())	Hsp27	https://identifiers.org/uniprot/P04792, https://identifiers.org/hgnc/HGNC:5246	HSPB1()	Map	https://identifiers.org/uniprot/P12872, https://identifiers.org/hgnc/HGNC:7141	MLN()	25277244	Merging our Hsp27 Interaction Map with the Human Interactome Enhances the Functional Landscape of Hsp27 and Reveals 17 New Cellular Functions.		TRUE														
109	ce91f0de-8377-4f6f-9fda-57a9b781c7d4	Activation	Activation(MEK(), HRAS())	MEK	https://identifiers.org/fplx/MEK	MEK()	HRas	https://identifiers.org/uniprot/P01112, https://identifiers.org/hgnc/HGNC:5173	HRAS()	20360249	Clavreul et al. demonstrated that in endothelial cells, OxLDL activates the MEK and ERK pathway via the peroxynitrite induced S glutathionylation of p21ras XREF_BIBR.		FALSE														
110	ce91f0de-8377-4f6f-9fda-57a9b781c7d4	Activation	Activation(MEK(), HRAS())	MEK	https://identifiers.org/fplx/MEK	MEK()	HRas	https://identifiers.org/uniprot/P01112, https://identifiers.org/hgnc/HGNC:5173	HRAS()	21731751	We sought to determine if MLC phosphorylation mediates the role of HRas \ Raf \ MEK \ ERK in influenza proliferation.		FALSE														
111	b980128c-09b4-4502-8872-aa3e8be069ae	Phosphorylation	Phosphorylation(GRK2(), OPRM1())	GRK2	https://identifiers.org/uniprot/P25098, https://identifiers.org/hgnc/HGNC:289	GRK2()	mu-opioid receptor	https://identifiers.org/uniprot/P35372, https://identifiers.org/hgnc/HGNC:8156	OPRM1()	25049229	The R587Q mutant, which is defective in Gbetagamma dependent stimulation of Rho phosphorylation in vitro and GRK2 dependent phosphorylation of beta 2 AR (Y326A) and mu-opioid receptor in intact cells, had a nearly abolished BRET response, whereas the kinase small lobe mutant R195A and other variants severely impaired in receptor phosphorylation in vitro retained a biphasic profile with a much reduced high agonist concentration component.		TRUE														
112	b980128c-09b4-4502-8872-aa3e8be069ae	Phosphorylation	Phosphorylation(GRK2(), OPRM1())	GRK2	https://identifiers.org/uniprot/P25098, https://identifiers.org/hgnc/HGNC:289	GRK2()	mu-opioid receptor	https://identifiers.org/uniprot/P35372, https://identifiers.org/hgnc/HGNC:8156	OPRM1()	10744734	Similarly, wild-type GRK2 but not GRK2 (K567E and R578E) or GRK2 (R587Q) promoted morphinedependent phosphorylation of the mu-opioid receptor in cells.		FALSE														
113	23d0ecad-005c-4690-9586-4f71a21652fa	Complex	Complex(RPS6KA1(), SLC9A3R1())	RSK1	https://identifiers.org/uniprot/Q15418, https://identifiers.org/hgnc/HGNC:10430	RPS6KA1()	EBP50	https://identifiers.org/uniprot/O14745, https://identifiers.org/hgnc/HGNC:11075	SLC9A3R1()	26862730	Here, we report that RSK1, which functions downstream of the Ras-ERK signaling cascade, binds to, phosphorylates EBP50, and leads to its nuclear mislocalization.		TRUE														
114	23d0ecad-005c-4690-9586-4f71a21652fa	Complex	Complex(RPS6KA1(), SLC9A3R1())	RSK1	https://identifiers.org/uniprot/Q15418, https://identifiers.org/hgnc/HGNC:10430	RPS6KA1()	EBP50	https://identifiers.org/uniprot/O14745, https://identifiers.org/hgnc/HGNC:11075	SLC9A3R1()	26862730	To investigate the potential interaction between EBP50 and RSK1, GST fused full-length EBP50 and its truncated mutants were employed to interact with RSK1 that was expressed transiently in HEK293 cells in a pull-down assay.		TRUE														
115	8fc1b602-9087-427e-b223-b4531cd3c7c9	Complex	Complex(HTR6(), MAP1B())	5-HT 6	https://identifiers.org/uniprot/P50406, https://identifiers.org/hgnc/HGNC:5301	HTR6()	MAP1B	https://identifiers.org/uniprot/P46821, https://identifiers.org/hgnc/HGNC:6836	MAP1B()	24614691	In the present study, we report that microtubule associated protein 1B (MAP1B) directly binds to human 5-HT 6 R and functionally modulates its activities.		TRUE														
116	8fc1b602-9087-427e-b223-b4531cd3c7c9	Complex	Complex(HTR6(), MAP1B())	5-HT 6	https://identifiers.org/uniprot/P50406, https://identifiers.org/hgnc/HGNC:5301	HTR6()	MAP1B	https://identifiers.org/uniprot/P46821, https://identifiers.org/hgnc/HGNC:6836	MAP1B()	24614691	As shown in XREF_FIG, endogenous 5-HT 6 R selectively bound to endogenous MAP1B (third lane) in rat brain, whereas no signal was detected in immunoprecipitates using control IgG antibody (second lane).		TRUE														
117	071a82a8-d5d1-4379-bd01-773e2de659f1	DecreaseAmount	DecreaseAmount(GKN1(mods: (modification)), PTGS2())	GKN1	https://identifiers.org/uniprot/Q9NS71, https://identifiers.org/hgnc/HGNC:23217	GKN1(mods: (modification))	COX-2	https://identifiers.org/uniprot/P35354, https://identifiers.org/hgnc/HGNC:9605	PTGS2()	23444260	Treatment of IL-1beta resulted in increased COX-2 expression, whereas GKN1 expression significantly decreased COX-2 mRNA expression (XREF_FIG).		FALSE														
118	071a82a8-d5d1-4379-bd01-773e2de659f1	DecreaseAmount	DecreaseAmount(GKN1(mods: (modification)), PTGS2())	GKN1	https://identifiers.org/uniprot/Q9NS71, https://identifiers.org/hgnc/HGNC:23217	GKN1(mods: (modification))	COX-2	https://identifiers.org/uniprot/P35354, https://identifiers.org/hgnc/HGNC:9605	PTGS2()	23444260	In this study, we found that GKN1 expression led to decreased COX-2 expression even in IL-1beta treated AGS cells, and knock-down of GKN1 expression in HFE-145 cells increased COX-2 expression (XREF_FIG).		FALSE														
119	ba5770b0-f38c-4fc1-b322-14c6f4950668	IncreaseAmount	IncreaseAmount(EDN1(), OLR1())	endothelin-1	https://identifiers.org/uniprot/P05305, https://identifiers.org/hgnc/HGNC:3176	EDN1()	LOX-1	https://identifiers.org/uniprot/P78380, https://identifiers.org/hgnc/HGNC:8133	OLR1()	21040737	LOX-1 expression is increased by reactive oxygen species (ROS); endothelin-1; shear stress; and the activation of the protein kinase-C, ANG II, and inflammatory pathways ().		FALSE														
120	ba5770b0-f38c-4fc1-b322-14c6f4950668	IncreaseAmount	IncreaseAmount(EDN1(), OLR1())	endothelin-1	https://identifiers.org/uniprot/P05305, https://identifiers.org/hgnc/HGNC:3176	EDN1()	LOX-1	https://identifiers.org/uniprot/P78380, https://identifiers.org/hgnc/HGNC:8133	OLR1()	25463747	Overexpression of LOX-1 driven by the endothelin-1 promoter was shown to cause lipid deposition in the coronary arteries of ApoE knockout mice.		FALSE														
121	8ab8477a-56be-416c-8b2b-1d7cfda04ec6	Dephosphorylation	Dephosphorylation(Phosphatase(), TBK1())	phosphatase	https://identifiers.org/fplx/Phosphatase	Phosphatase()	TBK1	https://identifiers.org/uniprot/Q9UHD2, https://identifiers.org/hgnc/HGNC:11584	TBK1()	22750291	Here we present evidence that PPM1B and PP2Cbeta functions as a TBK1 phosphatase that dephosphorylates TBK1 at serine172 and terminate TBK1 mediated IRF3 activation and IFNbeta gene expression.		TRUE	BMG	0												
122	8ab8477a-56be-416c-8b2b-1d7cfda04ec6	Dephosphorylation	Dephosphorylation(Phosphatase(), TBK1())	phosphatase	https://identifiers.org/fplx/Phosphatase	Phosphatase()	TBK1	https://identifiers.org/uniprot/Q9UHD2, https://identifiers.org/hgnc/HGNC:11584	TBK1()	22750291	However, how TBK1 phosphorylation is negatively regulated by phosphatase (s) is unclear.		FALSE	BMG	0												
123	8ab8477a-56be-416c-8b2b-1d7cfda04ec6	Dephosphorylation	Dephosphorylation(Phosphatase(), TBK1())	phosphatase	https://identifiers.org/fplx/Phosphatase	Phosphatase()	TBK1	https://identifiers.org/uniprot/Q9UHD2, https://identifiers.org/hgnc/HGNC:11584	TBK1()	22750291	Using a functional genomics approach, we identified PPM1B as a TBK1 phosphatase that binds to and dephosphorylates TBK1 in vivo and in vitro.		TRUE	BMG	0												
124	9f13a155-ba71-43a1-972b-77ddfb640622	Phosphorylation	Phosphorylation(AKT(), SRPK1())	Akt	https://identifiers.org/fplx/AKT	AKT()	SRPK1	https://identifiers.org/uniprot/Q96SB4, https://identifiers.org/hgnc/HGNC:11305	SRPK1()	22727668	We found that activated Akt could indeed induce SRPK1 phosphorylation in vitro, which could be blocked by the Akt specific inhibitor MK2206 (XREF_FIG).		FALSE	BMG	1												
125	9f13a155-ba71-43a1-972b-77ddfb640622	Phosphorylation	Phosphorylation(AKT(), SRPK1())	Akt	https://identifiers.org/fplx/AKT	AKT()	SRPK1	https://identifiers.org/uniprot/Q96SB4, https://identifiers.org/hgnc/HGNC:11305	SRPK1()	22727668	This explains why Akt is able to trigger SRPK1 phosphorylation in the absence of any consensus motif in SRPK1.		FALSE	BMG	1												
126	9f13a155-ba71-43a1-972b-77ddfb640622	Phosphorylation	Phosphorylation(AKT(), SRPK1())	Akt	https://identifiers.org/fplx/AKT	AKT()	SRPK1	https://identifiers.org/uniprot/Q96SB4, https://identifiers.org/hgnc/HGNC:11305	SRPK1()	23644876	Furthermore, western bolt analysis showed overexpression of wild-type SRPK1 enhanced Akt phosphorylation and knockdown of SRPK1 by RNA interference attenuated Akt phosphorylation induced by epidermal growth factor.		TRUE	BMG	0												
127	c6218ad8-dd9d-445f-84e3-51cc4371cfb9	Complex	Complex(CALM(), CDIPT())	CaM	https://identifiers.org/fplx/CALM	CALM()	PIs	https://identifiers.org/uniprot/O14735, https://identifiers.org/hgnc/HGNC:1769	CDIPT()	17317623	We propose that reduction of CaM binding by PIs is a previously unrecognized mode for coincidence detection of Ca and PI signals, which applies broadly to many classes of ion channels.To test whether TRPC6 associates directly with PIs, we focused on the C-terminal region of TRPC6, as the corresponding region has been implicated in PI regulation in other TRP channels ().		TRUE	BMG	0												
128	c6218ad8-dd9d-445f-84e3-51cc4371cfb9	Complex	Complex(CALM(), CDIPT())	CaM	https://identifiers.org/fplx/CALM	CALM()	PIs	https://identifiers.org/uniprot/O14735, https://identifiers.org/hgnc/HGNC:1769	CDIPT()	17317623	Therefore, the C termini of at least four TRPCs (TRPC1-C, TRPC5-C, TRPC6-C, and TRPC7-C) and TRPV1 bind directly to PIs.The finding that multiple TRPC proteins bind to CaM and PIs raises the possibility that regulation of CaM binding by PIs is a theme common among TRPC proteins.		TRUE	BMG	0												
129	c6218ad8-dd9d-445f-84e3-51cc4371cfb9	Complex	Complex(CALM(), CDIPT())	CaM	https://identifiers.org/fplx/CALM	CALM()	PIs	https://identifiers.org/uniprot/O14735, https://identifiers.org/hgnc/HGNC:1769	CDIPT()	17317623	In combination, these data indicate that regulation of CaM binding by PIs is common to multiple classes of cation channels.Many TRP channels appear to be regulated by PIs, such as PIP or PIP, although the mechanisms underlying PI mediated regulation of TRP channels have not been described.		BMG	BMG	0												
130	e5f06652-3d44-465c-be2e-dcc80391bdea	Activation	Activation(EIF2AK3(), BBC3())	PERK	https://identifiers.org/uniprot/Q9NZJ5, https://identifiers.org/hgnc/HGNC:3255	EIF2AK3()	PUMA	https://identifiers.org/uniprot/Q96PG8, https://identifiers.org/hgnc/HGNC:17868	BBC3()	26143746	We observed an upregulation of BiP protein in FTDP-17 neurons, which was accompanied by an increased expression of p-PERK and the apoptosis inducing protein PUMA.		FALSE	BMG	0												
131	e5f06652-3d44-465c-be2e-dcc80391bdea	Activation	Activation(EIF2AK3(), BBC3())	PERK	https://identifiers.org/uniprot/Q9NZJ5, https://identifiers.org/hgnc/HGNC:3255	EIF2AK3()	PUMA	https://identifiers.org/uniprot/Q96PG8, https://identifiers.org/hgnc/HGNC:17868	BBC3()	22773666	PERK knockdown reduced DP5 and PUMA inductions by palmitate (XREF_FIG).		FALSE	BMG	1												
132	e5f06652-3d44-465c-be2e-dcc80391bdea	Activation	Activation(EIF2AK3(), BBC3())	PERK	https://identifiers.org/uniprot/Q9NZJ5, https://identifiers.org/hgnc/HGNC:3255	EIF2AK3()	PUMA	https://identifiers.org/uniprot/Q96PG8, https://identifiers.org/hgnc/HGNC:17868	BBC3()	22773666	In primary beta-cells, knockdown of PERK or ATF3 also decreased palmitate induction of DP5 and PUMA (XREF_FIG).		FALSE	BMG	1												
133	c41c6eb7-0faa-4b20-8966-fea80988fd9b	IncreaseAmount	IncreaseAmount(TP53(), NGFR())	p53	https://identifiers.org/uniprot/P04637, https://identifiers.org/hgnc/HGNC:11998	TP53()	NGFR	https://identifiers.org/uniprot/P08138, https://identifiers.org/hgnc/HGNC:7809	NGFR()	27282385	Conversely, knockdown of p53 markedly reduced NGFR mRNA level (XREF_FIG).		FALSE	BMG	1												
134	c41c6eb7-0faa-4b20-8966-fea80988fd9b	IncreaseAmount	IncreaseAmount(TP53(), NGFR())	p53	https://identifiers.org/uniprot/P04637, https://identifiers.org/hgnc/HGNC:11998	TP53()	NGFR	https://identifiers.org/uniprot/P08138, https://identifiers.org/hgnc/HGNC:7809	NGFR()	27282385	p53 activates NGFR transcription, whereas NGFR inactivates p53 by promoting its MDM2 mediated ubiquitin dependent proteolysis and by directly binding to its central DNA binding domain and preventing its DNA binding activity.		FALSE	BMG	1												
135	c41c6eb7-0faa-4b20-8966-fea80988fd9b	IncreaseAmount	IncreaseAmount(TP53(), NGFR())	p53	https://identifiers.org/uniprot/P04637, https://identifiers.org/hgnc/HGNC:11998	TP53()	NGFR	https://identifiers.org/uniprot/P08138, https://identifiers.org/hgnc/HGNC:7809	NGFR()	27282385	The expression of NGFR at both mRNA and protein levels was induced by INZ, Dox, and 5-FU in several p53 positive, but not in p53-null, cancer cells (XREF_FIG).		FALSE	BMG	1												
136	f3b44780-67a5-4b78-a4b1-49c7427c60d9	DecreaseAmount	DecreaseAmount(FGFR2(), CD44())	FGFR2	https://identifiers.org/uniprot/P21802, https://identifiers.org/hgnc/HGNC:3689	FGFR2()	CD44	https://identifiers.org/uniprot/P16070, https://identifiers.org/hgnc/HGNC:1681	CD44()	27107424	FGFR2 KD decreases CD44 expression, but increases c-Myc and Sox 2 expression.		FALSE	JAB	0	polarity											
137	f3b44780-67a5-4b78-a4b1-49c7427c60d9	DecreaseAmount	DecreaseAmount(FGFR2(), CD44())	FGFR2	https://identifiers.org/uniprot/P21802, https://identifiers.org/hgnc/HGNC:3689	FGFR2()	CD44	https://identifiers.org/uniprot/P16070, https://identifiers.org/hgnc/HGNC:1681	CD44()	27107424	FGFR2 KD caused decreased CD44 levels and sharply increased c-Myc levels.		FALSE	JAB	0	polarity											
138	f3b44780-67a5-4b78-a4b1-49c7427c60d9	DecreaseAmount	DecreaseAmount(FGFR2(), CD44())	FGFR2	https://identifiers.org/uniprot/P21802, https://identifiers.org/hgnc/HGNC:3689	FGFR2()	CD44	https://identifiers.org/uniprot/P16070, https://identifiers.org/hgnc/HGNC:1681	CD44()	27107424	In vitro transient KD of FGFR2 decreased CD44 and EpCAM protein levels.		FALSE	JAB	0	polarity											
139	93747a6e-b2ae-4eb4-bacf-305bfbd0e9b1	Activation	Activation(HRAS(), STIM1())	Hras	https://identifiers.org/uniprot/P01112, https://identifiers.org/hgnc/HGNC:5173	HRAS()	STIM1	https://identifiers.org/uniprot/Q13586, https://identifiers.org/hgnc/HGNC:11386	STIM1()	25517631	Similarly, XREF_SUPPLEMENTARY shows that the Hras motif also targets STIM1 to PM puncta in the absence of Ca 2+ store depletion and that STIM1-Hras failed to interact with SARAF.		FALSE	JAB	0	"motif" refers to experimental detail											
140	93747a6e-b2ae-4eb4-bacf-305bfbd0e9b1	Activation	Activation(HRAS(), STIM1())	Hras	https://identifiers.org/uniprot/P01112, https://identifiers.org/hgnc/HGNC:5173	HRAS()	STIM1	https://identifiers.org/uniprot/Q13586, https://identifiers.org/hgnc/HGNC:11386	STIM1()	25517631	Hence, the Kras motif targets STIM1 to a domain where it can recruit SARAF, whereas the Lyn and Hras motifs target STIM1 to a domain that prevents recruitment of SARAF, although STIM1 can access Orai1 in both domains.		FALSE	JAB	0	"motif" refers to experimental detail											
141	93747a6e-b2ae-4eb4-bacf-305bfbd0e9b1	Activation	Activation(HRAS(), STIM1())	Hras	https://identifiers.org/uniprot/P01112, https://identifiers.org/hgnc/HGNC:5173	HRAS()	STIM1	https://identifiers.org/uniprot/Q13586, https://identifiers.org/hgnc/HGNC:11386	STIM1()	25517631	The results in XREF_SUPPLEMENTARY and XREF_FIG suggest that the Kras, Hras and Lyn motifs target STIM1 to different PM microdomains.		FALSE	JAB	0	"motif" refers to experimental detail											
142	c0af93ff-e8be-4bed-a495-aeb3877b6f4b	Complex	Complex(VEGF(), NPTX1())	VEGF	https://identifiers.org/fplx/VEGF	VEGF()	NP1	https://identifiers.org/uniprot/Q15818, https://identifiers.org/hgnc/HGNC:7952	NPTX1()	16513643	To define the role of NP-1 in the biological functions of VEGF, we developed a specific peptide antagonist of VEGF binding to NP-1 based on the NP-1 binding site located in the exon 7- and 8 encoded VEGF-A165 domain.		TRUE	JAB	0	"NP1" here refers to neuropilin 1, not neuronal pentraxin 1 											
143	c0af93ff-e8be-4bed-a495-aeb3877b6f4b	Complex	Complex(VEGF(), NPTX1())	VEGF	https://identifiers.org/fplx/VEGF	VEGF()	NP1	https://identifiers.org/uniprot/Q15818, https://identifiers.org/hgnc/HGNC:7952	NPTX1()	15126502	The specific KDR inhibitor, SU5614, did not affect the anti-chemorepellent effects of VEGF and PlGF-2, whereas a novel, specific antagonist of VEGF binding to NP-1, called EG3287, prevented inhibition of growth cone collapse.		TRUE	JAB	0	"NP1" here refers to neuropilin 1, not neuronal pentraxin 1 											
144	c0af93ff-e8be-4bed-a495-aeb3877b6f4b	Complex	Complex(VEGF(), NPTX1())	VEGF	https://identifiers.org/fplx/VEGF	VEGF()	NP1	https://identifiers.org/uniprot/Q15818, https://identifiers.org/hgnc/HGNC:7952	NPTX1()	25889301	Although the biological role of VEGFR-1 has remained unclear, cross linking experiments have shown that VEGF 121 is able to bind both NP1 and NP2 in cells that co-express VEGFR-1, suggesting an interaction between VEGFR-1 and the NPs [XREF_BIBR].		TRUE	JAB	0	"NP1" here refers to neuropilin 1, not neuronal pentraxin 1 											
145	9519c752-7d79-4b0c-a38d-691ed5a508f5	Activation	Activation(RAC1(), DOCK2())	Rac	https://identifiers.org/uniprot/P63000, https://identifiers.org/hgnc/HGNC:9801	RAC1()	DOCK2	https://identifiers.org/uniprot/Q92608, https://identifiers.org/hgnc/HGNC:2988	DOCK2()	14737186	Moreover, Rac activation by DOCK2 facilitates T cell responsiveness to antigen, as disrupted Rac activation in DOCK2 (-/-) and Rac2 (-/-) mice is associated with defective immunological synapse formation and depressed antigen specific responses.		FALSE	JAB	1												
146	9519c752-7d79-4b0c-a38d-691ed5a508f5	Activation	Activation(RAC1(), DOCK2())	Rac	https://identifiers.org/uniprot/P63000, https://identifiers.org/hgnc/HGNC:9801	RAC1()	DOCK2	https://identifiers.org/uniprot/Q92608, https://identifiers.org/hgnc/HGNC:2988	DOCK2()	18836449	The small G-proteins Rac and Cdc42 induce activation of the Wiskott-Aldrich syndrome protein (WASP)-Arp2/3 system and consistent with the studies here, the Rac activator DOCK2 is needed for lymph node egress XREF_BIBR.		FALSE	JAB	1												
147	9519c752-7d79-4b0c-a38d-691ed5a508f5	Activation	Activation(RAC1(), DOCK2())	Rac	https://identifiers.org/uniprot/P63000, https://identifiers.org/hgnc/HGNC:9801	RAC1()	DOCK2	https://identifiers.org/uniprot/Q92608, https://identifiers.org/hgnc/HGNC:2988	DOCK2()	24250818	Several signaling pathways are important for chemokine induced T cell motility, including activation of Rho family GTPases Rac1 and Rap1 via the Rac activator DOCK2 XREF_BIBR, XREF_BIBR, XREF_BIBR.		FALSE	JAB	1												
148	af97d9a7-858e-4439-b983-eff4ed215baf	Translocation	Translocation(IRF3(), None, mitochondrion)	IRF3	https://identifiers.org/uniprot/Q14653, https://identifiers.org/hgnc/HGNC:6118	IRF3()				23077293	The key proapoptotic protein in this pathway is interferon regulatory factor 3 (IRF-3), which upon activation by virus infection binds BAX, translocates it to mitochondria, and triggers apoptosis.		FALSE	JAB	1												
149	af97d9a7-858e-4439-b983-eff4ed215baf	Translocation	Translocation(IRF3(), None, mitochondrion)	IRF3	https://identifiers.org/uniprot/Q14653, https://identifiers.org/hgnc/HGNC:6118	IRF3()				20628368	Mechanistically, the clamp domain (R192) of Tom70 interacts with the C-terminal motif (EEVD) of Hsp90, thus recruiting TBK1 and IRF3 to mitochondria.		FALSE	JAB	1												
150	af97d9a7-858e-4439-b983-eff4ed215baf	Translocation	Translocation(IRF3(), None, mitochondrion)	IRF3	https://identifiers.org/uniprot/Q14653, https://identifiers.org/hgnc/HGNC:6118	IRF3()				25609812	The mitochondrial outer membrane protein Tom70 recruits IRF3 to mitochondria via Hsp90.		TRUE	JAB	1												
151	7f7b6ddc-c665-466b-8837-6d6c1a118fd6	IncreaseAmount	IncreaseAmount(IL13(), MMP9())	IL-13	https://identifiers.org/uniprot/P35225, https://identifiers.org/hgnc/HGNC:5973	IL13()	MMP-9	https://identifiers.org/uniprot/P14780, https://identifiers.org/hgnc/HGNC:7176	MMP9()	17597813	In this setting, both IL-13 and TGF-1 could increase intracellular MMP-9 expression (data not shown).		FALSE	JAB	1												
152	7f7b6ddc-c665-466b-8837-6d6c1a118fd6	IncreaseAmount	IncreaseAmount(IL13(), MMP9())	IL-13	https://identifiers.org/uniprot/P35225, https://identifiers.org/hgnc/HGNC:5973	IL13()	MMP-9	https://identifiers.org/uniprot/P14780, https://identifiers.org/hgnc/HGNC:7176	MMP9()	17597813	Dose response curves showed that 50ng/ml IL-13 consistently induced MMP-9 surface expression.		FALSE	JAB	1												
153	7f7b6ddc-c665-466b-8837-6d6c1a118fd6	IncreaseAmount	IncreaseAmount(IL13(), MMP9())	IL-13	https://identifiers.org/uniprot/P35225, https://identifiers.org/hgnc/HGNC:5973	IL13()	MMP-9	https://identifiers.org/uniprot/P14780, https://identifiers.org/hgnc/HGNC:7176	MMP9()	17597813	Using the Clara cell 10kDa protein promoter to express IL-13 selectively in the lung, Zhu () showed that IL-13 induces MMP-9 and TGF-1 expression and that the activation of TGF-1 is mediated by MMP-9-dependent mechanisms.		FALSE	JAB	1												
154	a6b0cebe-1641-4e99-8690-f05f184dbcd4	DecreaseAmount	DecreaseAmount(CD46(), TET3())	TLX	https://identifiers.org/uniprot/P15529, https://identifiers.org/hgnc/HGNC:6953	CD46()	TET3	https://identifiers.org/uniprot/O43151, https://identifiers.org/hgnc/HGNC:28313	TET3()	26838672	The inverse correlation between TET3 and TLX expression in TLX knockdown GSCs led us to hypothesize that TLX, a known transcription factor that usually works as a transcriptional repressor XREF_BIBR, could repress TET3 expression by directly binding to the promoter of the TET3 gene.		FALSE	JAB	0	TLX refers to NR2E1											
